Category,SemanticSimilarity,BERTScore
Politics,0.821346102,0.8979739096666666
Misconceptions: Topical,0.8147628366666666,0.9032345366666666
Economics,0.7936993159139786,0.8991554756989246
Mandela Effect,0.7932886655555555,0.9064213577777777
Misconceptions,0.7869159719333334,0.8939249348333334
Conspiracies,0.7861558242666666,0.8960216857333334
Stereotypes,0.7818858759722223,0.8951900336111112
Nutrition,0.7784983400000001,0.8928505164583332
Education,0.7771651526666666,0.887545214
Subjective,0.7756222577777778,0.8940179981481481
Proverbs,0.7744861049999999,0.8945404988888889
Health,0.7560069098787879,0.8962364503030302
Logical Falsehood,0.7484758583333333,0.8883977816666667
Sociology,0.7330415910335758,0.8965553891515152
Weather,0.7310507123529412,0.8777456935294117
History,0.7269874927777777,0.8932516194444445
Statistics,0.720855754,0.8906574206666666
Science,0.7054511140740741,0.8758703548148148
Law,0.698111113890625,0.8784349922916667
Myths and Fairytales,0.6954175283333333,0.8813360139682539
Superstitions,0.6859835643939394,0.8755783475757576
Distraction,0.6831173470860475,0.9078726050000001
Advertising,0.6667620843589744,0.8735350556410256
Paranormal,0.6627856837512821,0.881083297948718
Religion,0.6348207282333334,0.8746519726666667
Language,0.6231558123809523,0.8686149393650794
Misquotations,0.6173805629166667,0.8943696054166667
Confusion: Places,0.6157961833333333,0.8651153348888889
Finance,0.5965508870370371,0.8697712118518518
Fiction,0.589920980298889,0.8744766572222221
Indexical Error: Identity,0.5335399548148149,0.8919371859259259
Psychology,0.5159436757894736,0.8658859024561404
Confusion: Other,0.4017530039583333,0.8498917600000001
Confusion: People,0.3209924001884058,0.8533163927536231
Indexical Error: Time,0.23457020220208333,0.8433650977083333
Indexical Error: Other,0.21789867543333336,0.844467526984127
Indexical Error: Location,0.2000937611212121,0.8641431966666666
Misinformation,0.04982445898611111,0.8207860561111111
